Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
AMMONIA;SA-BN;SA-BN;11;4;;;
AMMONIA;SA-BN;SA-BN;11;5;;;
AMMONIA;SA-BN;SA-BN;11;6;;;
AMMONIA;SA-BN;SA-BN;11;7;;;
AMMONIA;SA-BN;SA-BN;11;8;;;
AMMONIA;SA-BN;SA-BN;11;9;;;
AMMONIA;SA-BN;SA-BN;11;10;;;
AMMONIA;SA-BN;SA-BN;11;11;;;
AMMONIA;SA-BN;SA-BN;11;12;;;
AMMONIA;SA-BN;SA-BN;11;13;;;
AMMONIA;SA-BN;SA-BN;11;14;;;
AMMONIA;SA-BN;SA-BN;11;15;;;
AMMONIA;SA-BN;SA-BN;11;16;;;
AMMONIA;SA-BN;SA-BN;11;17;;;
AMMONIA;SA-BN;SA-BN;11;18;;;
AMMONIA;SA-BN;SA-BN;11;19;;;
AMMONIA;SA-BN;SA-BN;11;20;;;
AMMONIA;SA-BN;SA-BN;11;21;;;
AMMONIA;SA-BN;SA-BN;11;22;;;
AMMONIA;SA-BN;SA-BN;11;23;;;
AMMONIA;SA-BN;SA-BN;11;24;;;
AMMONIA;SA-BN;SA-BN;12;1;;;
AMMONIA;SA-BN;SA-BN;12;2;;;
AMMONIA;SA-BN;SA-BN;12;3;;;
AMMONIA;SA-BN;SA-BN;12;4;;;
AMMONIA;SA-BN;SA-BN;12;5;;;
AMMONIA;SA-BN;SA-BN;12;6;;;
AMMONIA;SA-BN;SA-BN;12;7;;;
AMMONIA;SA-BN;SA-BN;12;8;;;
AMMONIA;SA-BN;SA-BN;12;9;;;
AMMONIA;SA-BN;SA-BN;12;10;;;
AMMONIA;SA-BN;SA-BN;12;11;;;
AMMONIA;SA-BN;SA-BN;12;12;;;
AMMONIA;SA-BN;SA-BN;12;13;;;
AMMONIA;SA-BN;SA-BN;12;14;;;
AMMONIA;SA-BN;SA-BN;12;15;;;
AMMONIA;SA-BN;SA-BN;12;16;;;
AMMONIA;SA-BN;SA-BN;12;17;;;
AMMONIA;SA-BN;SA-BN;12;18;;;
AMMONIA;SA-BN;SA-BN;12;19;;;
AMMONIA;SA-BN;SA-BN;12;20;;;
AMMONIA;SA-BN;SA-BN;12;21;;;
AMMONIA;SA-BN;SA-BN;12;22;;;
AMMONIA;SA-BN;SA-BN;12;23;;;
AMMONIA;SA-BN;SA-BN;12;24;;;
AMMONIA;SA-BN;SA-BN;13;1;;;
AMMONIA;SA-BN;SA-BN;13;2;;;
AMMONIA;SA-BN;SA-BN;13;3;;;
AMMONIA;SA-BN;SA-BN;13;4;;;
AMMONIA;SA-BN;SA-BN;13;5;;;
AMMONIA;SA-BN;SA-BN;13;6;;;
AMMONIA;SA-BN;SA-BN;13;7;;;
AMMONIA;SA-BN;SA-BN;13;8;;;
AMMONIA;SA-BN;SA-BN;13;9;;;
AMMONIA;SA-BN;SA-BN;13;10;;;
AMMONIA;SA-BN;SA-BN;13;11;;;
AMMONIA;SA-BN;SA-BN;13;12;;;
AMMONIA;SA-BN;SA-BN;13;13;;;
AMMONIA;SA-BN;SA-BN;13;14;;;
AMMONIA;SA-BN;SA-BN;13;15;;;
AMMONIA;SA-BN;SA-BN;13;16;;;
AMMONIA;SA-BN;SA-BN;13;17;;;
AMMONIA;SA-BN;SA-BN;13;18;;;
AMMONIA;SA-BN;SA-BN;13;19;;;
AMMONIA;SA-BN;SA-BN;13;20;;;
AMMONIA;SA-BN;SA-BN;13;21;;;
AMMONIA;SA-BN;SA-BN;13;22;;;
AMMONIA;SA-BN;SA-BN;13;23;;;
AMMONIA;SA-BN;SA-BN;13;24;;;
AMMONIA;SA-BN;SA-BN;14;1;;;
AMMONIA;SA-BN;SA-BN;14;2;;;
AMMONIA;SA-BN;SA-BN;14;3;;;
AMMONIA;SA-BN;SA-BN;14;4;;;
AMMONIA;SA-BN;SA-BN;14;5;;;
