Regions;Resources;Typical_days;Hours;R_t_exterior
SA-BN;AMMONIA;8;4;0.0
SA-BN;AMMONIA;8;5;0.0
SA-BN;AMMONIA;8;6;0.0
SA-BN;AMMONIA;8;7;0.0
SA-BN;AMMONIA;8;8;0.0
SA-BN;AMMONIA;8;9;0.0
SA-BN;AMMONIA;8;10;0.0
SA-BN;AMMONIA;8;11;0.0
SA-BN;AMMONIA;8;12;0.0
SA-BN;AMMONIA;8;13;0.0
SA-BN;AMMONIA;8;14;0.0
SA-BN;AMMONIA;8;15;0.0
SA-BN;AMMONIA;8;16;0.0
SA-BN;AMMONIA;8;17;0.0
SA-BN;AMMONIA;8;18;0.0
SA-BN;AMMONIA;8;19;0.0
SA-BN;AMMONIA;8;20;0.0
SA-BN;AMMONIA;8;21;0.0
SA-BN;AMMONIA;8;22;0.0
SA-BN;AMMONIA;8;23;0.0
SA-BN;AMMONIA;8;24;0.0
SA-BN;AMMONIA;9;1;0.0
SA-BN;AMMONIA;9;2;0.0
SA-BN;AMMONIA;9;3;0.0
SA-BN;AMMONIA;9;4;0.0
SA-BN;AMMONIA;9;5;0.0
SA-BN;AMMONIA;9;6;0.0
SA-BN;AMMONIA;9;7;0.0
SA-BN;AMMONIA;9;8;0.0
SA-BN;AMMONIA;9;9;0.0
SA-BN;AMMONIA;9;10;0.0
SA-BN;AMMONIA;9;11;0.0
SA-BN;AMMONIA;9;12;0.0
SA-BN;AMMONIA;9;13;0.0
SA-BN;AMMONIA;9;14;0.0
SA-BN;AMMONIA;9;15;0.0
SA-BN;AMMONIA;9;16;0.0
SA-BN;AMMONIA;9;17;0.0
SA-BN;AMMONIA;9;18;0.0
SA-BN;AMMONIA;9;19;0.0
SA-BN;AMMONIA;9;20;0.0
SA-BN;AMMONIA;9;21;0.0
SA-BN;AMMONIA;9;22;0.0
SA-BN;AMMONIA;9;23;0.0
SA-BN;AMMONIA;9;24;0.0
SA-BN;AMMONIA;10;1;0.0
SA-BN;AMMONIA;10;2;0.0
SA-BN;AMMONIA;10;3;0.0
SA-BN;AMMONIA;10;4;0.0
SA-BN;AMMONIA;10;5;0.0
SA-BN;AMMONIA;10;6;0.0
SA-BN;AMMONIA;10;7;0.0
SA-BN;AMMONIA;10;8;0.0
SA-BN;AMMONIA;10;9;0.0
SA-BN;AMMONIA;10;10;0.0
SA-BN;AMMONIA;10;11;0.0
SA-BN;AMMONIA;10;12;0.0
SA-BN;AMMONIA;10;13;0.0
SA-BN;AMMONIA;10;14;0.0
SA-BN;AMMONIA;10;15;0.0
SA-BN;AMMONIA;10;16;0.0
SA-BN;AMMONIA;10;17;0.0
SA-BN;AMMONIA;10;18;0.0
SA-BN;AMMONIA;10;19;0.0
SA-BN;AMMONIA;10;20;0.0
SA-BN;AMMONIA;10;21;0.0
SA-BN;AMMONIA;10;22;0.0
SA-BN;AMMONIA;10;23;0.0
SA-BN;AMMONIA;10;24;0.0
SA-BN;AMMONIA;11;1;0.0
SA-BN;AMMONIA;11;2;0.0
SA-BN;AMMONIA;11;3;0.0
SA-BN;AMMONIA;11;4;0.0
SA-BN;AMMONIA;11;5;0.0
SA-BN;AMMONIA;11;6;0.0
SA-BN;AMMONIA;11;7;0.0
SA-BN;AMMONIA;11;8;0.0
SA-BN;AMMONIA;11;9;0.0
SA-BN;AMMONIA;11;10;0.0
SA-BN;AMMONIA;11;11;0.0
SA-BN;AMMONIA;11;12;0.0
SA-BN;AMMONIA;11;13;0.0
SA-BN;AMMONIA;11;14;0.0
SA-BN;AMMONIA;11;15;0.0
SA-BN;AMMONIA;11;16;0.0
SA-BN;AMMONIA;11;17;0.0
SA-BN;AMMONIA;11;18;0.0
SA-BN;AMMONIA;11;19;0.0
SA-BN;AMMONIA;11;20;0.0
SA-BN;AMMONIA;11;21;0.0
SA-BN;AMMONIA;11;22;0.0
SA-BN;AMMONIA;11;23;0.0
SA-BN;AMMONIA;11;24;0.0
SA-BN;AMMONIA;12;1;0.0
SA-BN;AMMONIA;12;2;0.0
SA-BN;AMMONIA;12;3;0.0
SA-BN;AMMONIA;12;4;0.0
SA-BN;AMMONIA;12;5;0.0
SA-BN;AMMONIA;12;6;0.0
SA-BN;AMMONIA;12;7;0.0
SA-BN;AMMONIA;12;8;0.0
SA-BN;AMMONIA;12;9;0.0
SA-BN;AMMONIA;12;10;0.0
SA-BN;AMMONIA;12;11;0.0
SA-BN;AMMONIA;12;12;0.0
SA-BN;AMMONIA;12;13;0.0
SA-BN;AMMONIA;12;14;0.0
SA-BN;AMMONIA;12;15;0.0
SA-BN;AMMONIA;12;16;0.0
SA-BN;AMMONIA;12;17;0.0
SA-BN;AMMONIA;12;18;0.0
SA-BN;AMMONIA;12;19;0.0
SA-BN;AMMONIA;12;20;0.0
SA-BN;AMMONIA;12;21;0.0
SA-BN;AMMONIA;12;22;0.0
SA-BN;AMMONIA;12;23;0.0
SA-BN;AMMONIA;12;24;0.0
SA-BN;AMMONIA;13;1;0.0
SA-BN;AMMONIA;13;2;0.0
SA-BN;AMMONIA;13;3;0.0
SA-BN;AMMONIA;13;4;0.0
SA-BN;AMMONIA;13;5;0.0
SA-BN;AMMONIA;13;6;0.0
SA-BN;AMMONIA;13;7;0.0
SA-BN;AMMONIA;13;8;0.0
SA-BN;AMMONIA;13;9;0.0
SA-BN;AMMONIA;13;10;0.0
SA-BN;AMMONIA;13;11;0.0
SA-BN;AMMONIA;13;12;0.0
SA-BN;AMMONIA;13;13;0.0
SA-BN;AMMONIA;13;14;0.0
SA-BN;AMMONIA;13;15;0.0
SA-BN;AMMONIA;13;16;0.0
SA-BN;AMMONIA;13;17;0.0
SA-BN;AMMONIA;13;18;0.0
SA-BN;AMMONIA;13;19;0.0
SA-BN;AMMONIA;13;20;0.0
SA-BN;AMMONIA;13;21;0.0
SA-BN;AMMONIA;13;22;0.0
SA-BN;AMMONIA;13;23;0.0
SA-BN;AMMONIA;13;24;0.0
SA-BN;AMMONIA;14;1;0.0
SA-BN;AMMONIA;14;2;0.0
SA-BN;AMMONIA;14;3;0.0
SA-BN;AMMONIA;14;4;0.0
SA-BN;AMMONIA;14;5;0.0
SA-BN;AMMONIA;14;6;0.0
SA-BN;AMMONIA;14;7;0.0
SA-BN;AMMONIA;14;8;0.0
SA-BN;AMMONIA;14;9;0.0
SA-BN;AMMONIA;14;10;0.0
SA-BN;AMMONIA;14;11;0.0
SA-BN;AMMONIA;14;12;0.0
SA-BN;AMMONIA;14;13;0.0
SA-BN;AMMONIA;14;14;0.0
SA-BN;AMMONIA;14;15;0.0
SA-BN;AMMONIA;14;16;0.0
SA-BN;AMMONIA;14;17;0.0
SA-BN;AMMONIA;14;18;0.0
SA-BN;AMMONIA;14;19;0.0
SA-BN;AMMONIA;14;20;0.0
SA-BN;AMMONIA;14;21;0.0
SA-BN;AMMONIA;14;22;0.0
SA-BN;AMMONIA;14;23;0.0
SA-BN;AMMONIA;14;24;0.0
SA-BN;AMMONIA;15;1;0.0
SA-BN;AMMONIA;15;2;0.0
SA-BN;AMMONIA;15;3;0.0
SA-BN;AMMONIA;15;4;0.0
SA-BN;AMMONIA;15;5;0.0
SA-BN;AMMONIA;15;6;0.0
SA-BN;AMMONIA;15;7;0.0
SA-BN;AMMONIA;15;8;0.0
SA-BN;AMMONIA;15;9;0.0
SA-BN;AMMONIA;15;10;0.0
SA-BN;AMMONIA;15;11;0.0
SA-BN;AMMONIA;15;12;0.0
SA-BN;AMMONIA;15;13;0.0
SA-BN;AMMONIA;15;14;0.0
SA-BN;AMMONIA;15;15;0.0
SA-BN;AMMONIA;15;16;0.0
SA-BN;AMMONIA;15;17;0.0
SA-BN;AMMONIA;15;18;0.0
SA-BN;AMMONIA;15;19;0.0
SA-BN;AMMONIA;15;20;0.0
SA-BN;AMMONIA;15;21;0.0
SA-BN;AMMONIA;15;22;0.0
SA-BN;AMMONIA;15;23;0.0
SA-BN;AMMONIA;15;24;0.0
SA-BN;AMMONIA;16;1;0.0
SA-BN;AMMONIA;16;2;0.0
SA-BN;AMMONIA;16;3;0.0
SA-BN;AMMONIA;16;4;0.0
SA-BN;AMMONIA;16;5;0.0
SA-BN;AMMONIA;16;6;0.0
SA-BN;AMMONIA;16;7;0.0
SA-BN;AMMONIA;16;8;0.0
SA-BN;AMMONIA;16;9;0.0
SA-BN;AMMONIA;16;10;0.0
SA-BN;AMMONIA;16;11;0.0
SA-BN;AMMONIA;16;12;0.0
SA-BN;AMMONIA;16;13;0.0
SA-BN;AMMONIA;16;14;0.0
SA-BN;AMMONIA;16;15;0.0
SA-BN;AMMONIA;16;16;0.0
SA-BN;AMMONIA;16;17;0.0
SA-BN;AMMONIA;16;18;0.0
SA-BN;AMMONIA;16;19;0.0
SA-BN;AMMONIA;16;20;0.0
SA-BN;AMMONIA;16;21;0.0
SA-BN;AMMONIA;16;22;0.0
SA-BN;AMMONIA;16;23;0.0
SA-BN;AMMONIA;16;24;0.0
SA-BN;AMMONIA_RE;1;1;0.0
SA-BN;AMMONIA_RE;1;2;0.0
SA-BN;AMMONIA_RE;1;3;0.0
SA-BN;AMMONIA_RE;1;4;0.0
SA-BN;AMMONIA_RE;1;5;0.0
SA-BN;AMMONIA_RE;1;6;0.0
SA-BN;AMMONIA_RE;1;7;0.0
SA-BN;AMMONIA_RE;1;8;0.0
SA-BN;AMMONIA_RE;1;9;0.0
SA-BN;AMMONIA_RE;1;10;0.0
SA-BN;AMMONIA_RE;1;11;0.0
SA-BN;AMMONIA_RE;1;12;0.0
SA-BN;AMMONIA_RE;1;13;0.0
SA-BN;AMMONIA_RE;1;14;0.0
SA-BN;AMMONIA_RE;1;15;0.0
SA-BN;AMMONIA_RE;1;16;0.0
SA-BN;AMMONIA_RE;1;17;0.0
SA-BN;AMMONIA_RE;1;18;0.0
SA-BN;AMMONIA_RE;1;19;0.0
SA-BN;AMMONIA_RE;1;20;0.0
SA-BN;AMMONIA_RE;1;21;0.0
SA-BN;AMMONIA_RE;1;22;0.0
SA-BN;AMMONIA_RE;1;23;0.0
SA-BN;AMMONIA_RE;1;24;0.0
SA-BN;AMMONIA_RE;2;1;0.0
SA-BN;AMMONIA_RE;2;2;0.0
SA-BN;AMMONIA_RE;2;3;0.0
SA-BN;AMMONIA_RE;2;4;0.0
SA-BN;AMMONIA_RE;2;5;0.0
SA-BN;AMMONIA_RE;2;6;0.0
SA-BN;AMMONIA_RE;2;7;0.0
SA-BN;AMMONIA_RE;2;8;0.0
SA-BN;AMMONIA_RE;2;9;0.0
SA-BN;AMMONIA_RE;2;10;0.0
SA-BN;AMMONIA_RE;2;11;0.0
SA-BN;AMMONIA_RE;2;12;0.0
SA-BN;AMMONIA_RE;2;13;0.0
SA-BN;AMMONIA_RE;2;14;0.0
SA-BN;AMMONIA_RE;2;15;0.0
SA-BN;AMMONIA_RE;2;16;0.0
SA-BN;AMMONIA_RE;2;17;0.0
SA-BN;AMMONIA_RE;2;18;0.0
SA-BN;AMMONIA_RE;2;19;0.0
SA-BN;AMMONIA_RE;2;20;0.0
SA-BN;AMMONIA_RE;2;21;0.0
SA-BN;AMMONIA_RE;2;22;0.0
SA-BN;AMMONIA_RE;2;23;0.0
SA-BN;AMMONIA_RE;2;24;0.0
SA-BN;AMMONIA_RE;3;1;0.0
SA-BN;AMMONIA_RE;3;2;0.0
SA-BN;AMMONIA_RE;3;3;0.0
SA-BN;AMMONIA_RE;3;4;0.0
SA-BN;AMMONIA_RE;3;5;0.0
SA-BN;AMMONIA_RE;3;6;0.0
SA-BN;AMMONIA_RE;3;7;0.0
SA-BN;AMMONIA_RE;3;8;0.0
SA-BN;AMMONIA_RE;3;9;0.0
SA-BN;AMMONIA_RE;3;10;0.0
SA-BN;AMMONIA_RE;3;11;0.0
SA-BN;AMMONIA_RE;3;12;0.0
SA-BN;AMMONIA_RE;3;13;0.0
SA-BN;AMMONIA_RE;3;14;0.0
SA-BN;AMMONIA_RE;3;15;0.0
SA-BN;AMMONIA_RE;3;16;0.0
