Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
DIESEL;C1;C1;10;7;;;
DIESEL;C1;C1;10;8;;;
DIESEL;C1;C1;10;9;;;
DIESEL;C1;C1;10;10;;;
DIESEL;C1;C1;10;11;;;
DIESEL;C1;C1;10;12;;;
DIESEL;C1;C1;10;13;;;
DIESEL;C1;C1;10;14;;;
DIESEL;C1;C1;10;15;;;
DIESEL;C1;C1;10;16;;;
DIESEL;C1;C1;10;17;;;
DIESEL;C1;C1;10;18;;;
DIESEL;C1;C1;10;19;;;
DIESEL;C1;C1;10;20;;;
DIESEL;C1;C1;10;21;;;
DIESEL;C1;C1;10;22;;;
DIESEL;C1;C1;10;23;;;
DIESEL;C1;C1;10;24;;;
DIESEL;C1;C1;11;1;;;
DIESEL;C1;C1;11;2;;;
DIESEL;C1;C1;11;3;;;
DIESEL;C1;C1;11;4;;;
DIESEL;C1;C1;11;5;;;
DIESEL;C1;C1;11;6;;;
DIESEL;C1;C1;11;7;;;
DIESEL;C1;C1;11;8;;;
DIESEL;C1;C1;11;9;;;
DIESEL;C1;C1;11;10;;;
DIESEL;C1;C1;11;11;;;
DIESEL;C1;C1;11;12;;;
DIESEL;C1;C1;11;13;;;
DIESEL;C1;C1;11;14;;;
DIESEL;C1;C1;11;15;;;
DIESEL;C1;C1;11;16;;;
DIESEL;C1;C1;11;17;;;
DIESEL;C1;C1;11;18;;;
DIESEL;C1;C1;11;19;;;
DIESEL;C1;C1;11;20;;;
DIESEL;C1;C1;11;21;;;
DIESEL;C1;C1;11;22;;;
DIESEL;C1;C1;11;23;;;
DIESEL;C1;C1;11;24;;;
DIESEL;C1;C1;12;1;;;
DIESEL;C1;C1;12;2;;;
DIESEL;C1;C1;12;3;;;
DIESEL;C1;C1;12;4;;;
DIESEL;C1;C1;12;5;;;
DIESEL;C1;C1;12;6;;;
DIESEL;C1;C1;12;7;;;
DIESEL;C1;C1;12;8;;;
DIESEL;C1;C1;12;9;;;
DIESEL;C1;C1;12;10;;;
DIESEL;C1;C1;12;11;;;
DIESEL;C1;C1;12;12;;;
DIESEL;C1;C1;12;13;;;
DIESEL;C1;C1;12;14;;;
DIESEL;C1;C1;12;15;;;
DIESEL;C1;C1;12;16;;;
DIESEL;C1;C1;12;17;;;
DIESEL;C1;C1;12;18;;;
DIESEL;C1;C1;12;19;;;
DIESEL;C1;C1;12;20;;;
DIESEL;C1;C1;12;21;;;
DIESEL;C1;C1;12;22;;;
DIESEL;C1;C1;12;23;;;
DIESEL;C1;C1;12;24;;;
DIESEL;C1;C1;13;1;;;
DIESEL;C1;C1;13;2;;;
DIESEL;C1;C1;13;3;;;
DIESEL;C1;C1;13;4;;;
DIESEL;C1;C1;13;5;;;
DIESEL;C1;C1;13;6;;;
DIESEL;C1;C1;13;7;;;
DIESEL;C1;C1;13;8;;;
DIESEL;C1;C1;13;9;;;
DIESEL;C1;C1;13;10;;;
DIESEL;C1;C1;13;11;;;
DIESEL;C1;C1;13;12;;;
DIESEL;C1;C1;13;13;;;
DIESEL;C1;C1;13;14;;;
DIESEL;C1;C1;13;15;;;
DIESEL;C1;C1;13;16;;;
DIESEL;C1;C1;13;17;;;
DIESEL;C1;C1;13;18;;;
DIESEL;C1;C1;13;19;;;
DIESEL;C1;C1;13;20;;;
DIESEL;C1;C1;13;21;;;
DIESEL;C1;C1;13;22;;;
DIESEL;C1;C1;13;23;;;
DIESEL;C1;C1;13;24;;;
DIESEL;C1;C1;14;1;;;
DIESEL;C1;C1;14;2;;;
DIESEL;C1;C1;14;3;;;
DIESEL;C1;C1;14;4;;;
DIESEL;C1;C1;14;5;;;
DIESEL;C1;C1;14;6;;;
DIESEL;C1;C1;14;7;;;
DIESEL;C1;C1;14;8;;;
DIESEL;C1;C1;14;9;;;
DIESEL;C1;C1;14;10;;;
DIESEL;C1;C1;14;11;;;
DIESEL;C1;C1;14;12;;;
DIESEL;C1;C1;14;13;;;
DIESEL;C1;C1;14;14;;;
DIESEL;C1;C1;14;15;;;
DIESEL;C1;C1;14;16;;;
DIESEL;C1;C1;14;17;;;
DIESEL;C1;C1;14;18;;;
DIESEL;C1;C1;14;19;;;
