Regions;Elements;C_inv;C_maint;C_op
C1;TS_DEC_ADVCOGEN_GAS;;;
C1;TS_DEC_ADVCOGEN_H2;;;
C1;TS_DEC_BOILER_GAS;0.00012876922251514518;7.997349482379635e-06;
C1;TS_DEC_BOILER_WOOD;;;
C1;TS_DEC_BOILER_OIL;;;
C1;TS_DHN_DAILY;;;
C1;TS_DHN_SEASONAL;;;
C1;TS_HIGH_TEMP;;;
C1;GAS_STORAGE;;;
C1;H2_STORAGE;;;
C1;DIESEL_STORAGE;;0.001553092685612995;
C1;JET_FUEL_STORAGE;0.0002854019327353307;0.0001535301909989713;
C1;GASOLINE_STORAGE;;0.001437690963166032;
C1;LFO_STORAGE;;;
C1;AMMONIA_STORAGE;;;
C1;METHANOL_STORAGE;;;
C1;PT_STORAGE;;;
C1;ST_STORAGE;;;
C1;TS_COLD;;;
C1;CO2_STORAGE;;;
C1;STOVE_WOOD;;0.005318005894946833;
C1;STOVE_LPG;;0.02048467459021416;
C1;STOVE_NG;7.07888065309355e-06;9.658039753232166e-05;
C1;STOVE_OIL;;9.39302242932447e-05;
C1;STOVE_ELEC;0.002868522939312917;0.0004406457910883252;
C1;PLANE;;;
C1;FERMENTATION_TO_BIOETHANOL;;;
C1;ESTERIFICATION_TO_BIODIESEL;;;
C1;IND_BOILER_DIESEL;;0.0001355460207181479;
C1;IND_BOILER_LPG;;;
C1;LPG_STORAGE;0.0006972033087002315;0.0002620697473045388;
C1;LNG_STORAGE;0.00045390207815878246;0.0001534136733179444;
C1;CAR_FG_PRIVATE;;;
C1;BUS_FG_PRIVATE;;;
C1;PICKUP_TRUCK_FG_PRIVATE;;;
C1;SUV_FG_PRIVATE;;;
C1;MOTORCYCLE_FG_PRIVATE;;;
C1;CAR_FG_PUBLIC;;;
C1;BUS_FG_PUBLIC;;;
C1;PICKUP_TRUCK_FG_PUBLIC;;;
C1;SUV_FG_PUBLIC;;;
C1;MOTORCYCLE_FG_PUBLIC;;;
C1;CAR_GASOLINE_PRIVATE;;;
C1;BUS_GASOLINE_PRIVATE;;;
C1;PICKUP_TRUCK_GASOLINE_PRIVATE;;;
C1;SUV_GASOLINE_PRIVATE;;;
C1;MOTORCYCLE_GASOLINE_PRIVATE;;;
C1;CAR_GASOLINE_PUBLIC;;;
C1;BUS_GASOLINE_PUBLIC;;;
C1;PICKUP_TRUCK_GASOLINE_PUBLIC;;;
C1;SUV_GASOLINE_PUBLIC;;;
C1;MOTORCYCLE_GASOLINE_PUBLIC;;;
C1;CAR_DIESEL_PRIVATE;;;
C1;BUS_DIESEL_PRIVATE;;;
C1;PICKUP_TRUCK_DIESEL_PRIVATE;;;
C1;SUV_DIESEL_PRIVATE;;;
C1;MOTORCYCLE_DIESEL_PRIVATE;;;
