From;To;Resources;Network_type;Transfer_capacity
SIN;SA-PA;ELECTRICITY;HVDC_SUBSEA;
SIN;SA-PA;GAS;GAS_PIPELINE;
SIN;SA-PA;GAS;GAS_SUBSEA;
SIN;SA-PA;GASOLINE;GASOLINE_PIPELINE;
SIN;SA-PA;H2;H2_NEW;
SIN;SA-PA;H2;H2_RETROFITTED;
SIN;SA-PA;H2;H2_SUBSEA_NEW;
SIN;SA-PA;H2;H2_SUBSEA_RETRO;
SIN;SA-PA;JET_FUEL;JET_FUEL_PIPELINE;
SIN;SA-PA;LFO;LFO_PIPELINE;
SIN;SA-PA;LPG;LPG_PIPELINE;
SIN;SA-SC;DIESEL;DIESEL_PIPELINE;
SIN;SA-SC;ELECTRICITY;HVAC_LINE;
SIN;SA-SC;ELECTRICITY;HVDC_SUBSEA;
SIN;SA-SC;GAS;GAS_PIPELINE;0.1056898733565828
SIN;SA-SC;GAS;GAS_SUBSEA;
SIN;SA-SC;GASOLINE;GASOLINE_PIPELINE;
SIN;SA-SC;H2;H2_NEW;
SIN;SA-SC;H2;H2_RETROFITTED;
SIN;SA-SC;H2;H2_SUBSEA_NEW;
SIN;SA-SC;H2;H2_SUBSEA_RETRO;
SIN;SA-SC;JET_FUEL;JET_FUEL_PIPELINE;
SIN;SA-SC;LFO;LFO_PIPELINE;
SIN;SA-SC;LPG;LPG_PIPELINE;
SIN;SA-TJ;DIESEL;DIESEL_PIPELINE;
SIN;SA-TJ;ELECTRICITY;HVAC_LINE;
SIN;SA-TJ;ELECTRICITY;HVDC_SUBSEA;
SIN;SA-TJ;GAS;GAS_PIPELINE;0.0406917525848068
SIN;SA-TJ;GAS;GAS_SUBSEA;
SIN;SA-TJ;GASOLINE;GASOLINE_PIPELINE;
SIN;SA-TJ;H2;H2_NEW;
SIN;SA-TJ;H2;H2_RETROFITTED;
SIN;SA-TJ;H2;H2_SUBSEA_NEW;
SIN;SA-TJ;H2;H2_SUBSEA_RETRO;
SIN;SA-TJ;JET_FUEL;JET_FUEL_PIPELINE;
SIN;SA-TJ;LFO;LFO_PIPELINE;
SIN;SA-TJ;LPG;LPG_PIPELINE;
SIN;SIN;DIESEL;DIESEL_PIPELINE;
SIN;SIN;ELECTRICITY;HVAC_LINE;
SIN;SIN;ELECTRICITY;HVDC_SUBSEA;
SIN;SIN;GAS;GAS_PIPELINE;
SIN;SIN;GAS;GAS_SUBSEA;
SIN;SIN;GASOLINE;GASOLINE_PIPELINE;
SIN;SIN;H2;H2_NEW;
SIN;SIN;H2;H2_RETROFITTED;
SIN;SIN;H2;H2_SUBSEA_NEW;
SIN;SIN;H2;H2_SUBSEA_RETRO;
SIN;SIN;JET_FUEL;JET_FUEL_PIPELINE;
SIN;SIN;LFO;LFO_PIPELINE;
SIN;SIN;LPG;LPG_PIPELINE;
