From;To;Resources;Exchanges_year;Transfer_capacity;Utilization_factor
SA-SC;SA-PA;LNG;;;
SA-SC;SA-SC;ELECTRICITY;;;
SA-SC;SA-SC;GASOLINE;;;
SA-SC;SA-SC;DIESEL;;;
SA-SC;SA-SC;LFO;;;
SA-SC;SA-SC;JET_FUEL;;;
SA-SC;SA-SC;GAS;;;
SA-SC;SA-SC;WOOD;;;
SA-SC;SA-SC;H2;;;
SA-SC;SA-SC;AMMONIA;;;
SA-SC;SA-SC;METHANOL;;;
SA-SC;SA-SC;CO2_CAPTURED;;;
SA-SC;SA-SC;LPG;;;
SA-SC;SA-SC;LNG;;;
SA-SC;SA-TJ;ELECTRICITY;;;
SA-SC;SA-TJ;GASOLINE;;;
SA-SC;SA-TJ;DIESEL;;;
SA-SC;SA-TJ;LFO;;;
SA-SC;SA-TJ;JET_FUEL;;;
SA-SC;SA-TJ;GAS;;;
SA-SC;SA-TJ;WOOD;;;
SA-SC;SA-TJ;H2;;;
SA-SC;SA-TJ;AMMONIA;;;
SA-SC;SA-TJ;METHANOL;;;
SA-SC;SA-TJ;CO2_CAPTURED;;;
SA-SC;SA-TJ;LPG;;;
SA-SC;SA-TJ;LNG;;;
SA-SC;SIN;ELECTRICITY;;;
SA-SC;SIN;GASOLINE;;;
SA-SC;SIN;DIESEL;;;
SA-SC;SIN;LFO;;;
SA-SC;SIN;JET_FUEL;;;
SA-SC;SIN;GAS;;0.1056898733565828;
SA-SC;SIN;WOOD;;;
SA-SC;SIN;H2;;;
SA-SC;SIN;AMMONIA;;;
SA-SC;SIN;METHANOL;;;
SA-SC;SIN;CO2_CAPTURED;;;
SA-SC;SIN;LPG;;;
SA-SC;SIN;LNG;0.73629757016815;;
SA-TJ;SA-BN;ELECTRICITY;;;
SA-TJ;SA-BN;GASOLINE;;;
SA-TJ;SA-BN;DIESEL;;;
SA-TJ;SA-BN;LFO;;;
SA-TJ;SA-BN;JET_FUEL;;;
SA-TJ;SA-BN;GAS;;;
SA-TJ;SA-BN;WOOD;;;
SA-TJ;SA-BN;H2;;;
SA-TJ;SA-BN;AMMONIA;;;
SA-TJ;SA-BN;METHANOL;;;
SA-TJ;SA-BN;CO2_CAPTURED;;;
SA-TJ;SA-BN;LPG;;;
SA-TJ;SA-BN;LNG;;;
SA-TJ;SA-PA;ELECTRICITY;;;
SA-TJ;SA-PA;GASOLINE;;;
SA-TJ;SA-PA;DIESEL;;;
SA-TJ;SA-PA;LFO;;;
SA-TJ;SA-PA;JET_FUEL;;;
SA-TJ;SA-PA;GAS;;;
SA-TJ;SA-PA;WOOD;;;
SA-TJ;SA-PA;H2;;;
SA-TJ;SA-PA;AMMONIA;;;
SA-TJ;SA-PA;METHANOL;;;
SA-TJ;SA-PA;CO2_CAPTURED;;;
SA-TJ;SA-PA;LPG;;;
SA-TJ;SA-PA;LNG;;;
SA-TJ;SA-SC;ELECTRICITY;;;
SA-TJ;SA-SC;GASOLINE;;;
SA-TJ;SA-SC;DIESEL;;;
SA-TJ;SA-SC;LFO;;;
SA-TJ;SA-SC;JET_FUEL;;;
SA-TJ;SA-SC;GAS;;;
SA-TJ;SA-SC;WOOD;;;
SA-TJ;SA-SC;H2;;;
SA-TJ;SA-SC;AMMONIA;;;
SA-TJ;SA-SC;METHANOL;;;
SA-TJ;SA-SC;CO2_CAPTURED;;;
SA-TJ;SA-SC;LPG;;;
SA-TJ;SA-SC;LNG;;;
SA-TJ;SA-TJ;ELECTRICITY;;;
SA-TJ;SA-TJ;GASOLINE;;;
SA-TJ;SA-TJ;DIESEL;;;
SA-TJ;SA-TJ;LFO;;;
SA-TJ;SA-TJ;JET_FUEL;;;
SA-TJ;SA-TJ;GAS;;;
SA-TJ;SA-TJ;WOOD;;;
SA-TJ;SA-TJ;H2;;;
SA-TJ;SA-TJ;AMMONIA;;;
SA-TJ;SA-TJ;METHANOL;;;
SA-TJ;SA-TJ;CO2_CAPTURED;;;
SA-TJ;SA-TJ;LPG;;;
SA-TJ;SA-TJ;LNG;;;
SA-TJ;SIN;ELECTRICITY;;;
SA-TJ;SIN;GASOLINE;;;
SA-TJ;SIN;DIESEL;;;
SA-TJ;SIN;LFO;;;
SA-TJ;SIN;JET_FUEL;;;
SA-TJ;SIN;GAS;;0.0406917525848068;
SA-TJ;SIN;WOOD;0.009229548896156533;;
SA-TJ;SIN;H2;;;
SA-TJ;SIN;AMMONIA;;;
SA-TJ;SIN;METHANOL;;;
SA-TJ;SIN;CO2_CAPTURED;;;
SA-TJ;SIN;LPG;;;
SA-TJ;SIN;LNG;;;
SIN;SA-BN;ELECTRICITY;;;
SIN;SA-BN;GASOLINE;;;
SIN;SA-BN;DIESEL;10.089721508928402;;inf
SIN;SA-BN;LFO;;;
SIN;SA-BN;JET_FUEL;;;
SIN;SA-BN;GAS;;;
SIN;SA-BN;WOOD;;;
SIN;SA-BN;H2;;;
SIN;SA-BN;AMMONIA;;;
SIN;SA-BN;METHANOL;;;
SIN;SA-BN;CO2_CAPTURED;;;
SIN;SA-BN;LPG;0.020259820935290943;;inf
SIN;SA-BN;LNG;;;
SIN;SA-PA;ELECTRICITY;;;
SIN;SA-PA;GASOLINE;;;
SIN;SA-PA;DIESEL;383.2436375020022;;inf
SIN;SA-PA;LFO;1.0272643410634799;;inf
SIN;SA-PA;JET_FUEL;;;
SIN;SA-PA;GAS;;;
SIN;SA-PA;WOOD;;;
SIN;SA-PA;H2;;;
SIN;SA-PA;AMMONIA;;;
SIN;SA-PA;METHANOL;;;
SIN;SA-PA;CO2_CAPTURED;;;
SIN;SA-PA;LPG;45.60445920163099;;inf
SIN;SA-PA;LNG;0.3825152127904884;;
SIN;SA-SC;ELECTRICITY;;;
SIN;SA-SC;GASOLINE;;;
SIN;SA-SC;DIESEL;105.13758421391024;;inf
SIN;SA-SC;LFO;;;
SIN;SA-SC;JET_FUEL;;;
SIN;SA-SC;GAS;592.2330805553083;0.1056898733565828;0.639668814977492
SIN;SA-SC;WOOD;;;
SIN;SA-SC;H2;;;
SIN;SA-SC;AMMONIA;;;
SIN;SA-SC;METHANOL;;;
SIN;SA-SC;CO2_CAPTURED;;;
SIN;SA-SC;LPG;171.7050339452998;;inf
SIN;SA-SC;LNG;;;
SIN;SA-TJ;ELECTRICITY;;;
SIN;SA-TJ;GASOLINE;;;
SIN;SA-TJ;DIESEL;;;
SIN;SA-TJ;LFO;;;
SIN;SA-TJ;JET_FUEL;;;
SIN;SA-TJ;GAS;119.95939707391202;0.0406917525848068;0.336529990228895
SIN;SA-TJ;WOOD;0.010838156591444461;;
SIN;SA-TJ;H2;;;
SIN;SA-TJ;AMMONIA;;;
SIN;SA-TJ;METHANOL;;;
SIN;SA-TJ;CO2_CAPTURED;;;
SIN;SA-TJ;LPG;8.530137009746014;;inf
SIN;SA-TJ;LNG;;;
SIN;SIN;ELECTRICITY;;;
SIN;SIN;GASOLINE;;;
SIN;SIN;DIESEL;;;
SIN;SIN;LFO;;;
SIN;SIN;JET_FUEL;;;
SIN;SIN;GAS;;;
SIN;SIN;WOOD;;;
SIN;SIN;H2;;;
SIN;SIN;AMMONIA;;;
SIN;SIN;METHANOL;;;
SIN;SIN;CO2_CAPTURED;;;
SIN;SIN;LPG;;;
SIN;SIN;LNG;;;
