Regions;Elements;C_inv;C_maint;C_op
SA-PA;BOAT_FREIGHT_METHANOL;;;
SA-PA;CARGO_LFO;;;
SA-PA;CARGO_LNG;;;
SA-PA;CARGO_METHANOL;;;
SA-PA;CARGO_AMMONIA;;;
SA-PA;CARGO_FUELCELL_LH2;;;
SA-PA;CARGO_FUELCELL_AMMONIA;;;
SA-PA;CARGO_RETRO_METHANOL;;;
SA-PA;CARGO_RETRO_AMMONIA;;;
SA-PA;TRUCK_DIESEL;;;
SA-PA;TRUCK_METHANOL;;;
SA-PA;TRUCK_FUEL_CELL;;;
SA-PA;TRUCK_ELEC;;;
SA-PA;TRUCK_NG;;;
SA-PA;EFFICIENCY;;;
SA-PA;DHN;;;
SA-PA;GRID;17.458239270220712;;
SA-PA;HVAC_LINE;;;
SA-PA;HVDC_SUBSEA;;;
SA-PA;GAS_PIPELINE;;;
SA-PA;GAS_SUBSEA;;;
SA-PA;H2_RETROFITTED;;;
SA-PA;H2_NEW;;;
SA-PA;H2_SUBSEA_RETRO;;;
SA-PA;H2_SUBSEA_NEW;;;
SA-PA;H2_ELECTROLYSIS;;;
SA-PA;H2_NG;;;
SA-PA;H2_BIOMASS;;;
SA-PA;BIOMASS_TO_METHANE;;;
SA-PA;BIOWASTE_TO_METHANE;;;
SA-PA;SYN_METHANATION;;;
SA-PA;BIOMETHANATION_WET_BIOMASS;;;
SA-PA;BIOMETHANATION_BIOWASTE;;;
SA-PA;BIOMASS_TO_JET_FUEL;;;
SA-PA;BIOMASS_TO_LFO;;;
SA-PA;BIOWASTE_TO_JET_FUEL;;;
SA-PA;BIOWASTE_TO_LFO;;;
SA-PA;DIESEL_TO_JET_FUEL;;;
SA-PA;ATM_CCS;;;
SA-PA;INDUSTRY_CCS;;;
SA-PA;SYN_METHANOLATION;;;
SA-PA;METHANE_TO_METHANOL;;;
SA-PA;BIOMASS_TO_METHANOL;;;
SA-PA;BIOWASTE_TO_METHANOL;;;
SA-PA;HABER_BOSCH;;;
SA-PA;POWER_TO_JET_FUEL;;;
SA-PA;POWER_TO_LFO;;;
SA-PA;H2_TO_JET_FUEL;;;
SA-PA;H2_TO_LFO;;;
SA-PA;AMMONIA_TO_H2;;;
SA-PA;OIL_TO_HVC;;;
SA-PA;GAS_TO_HVC;;;
SA-PA;BIOMASS_TO_HVC;;;
SA-PA;METHANOL_TO_HVC;;;
SA-PA;BATT_LI;0.021721646433310825;;
SA-PA;BATT_HS;;;
SA-PA;CAES;;;
SA-PA;BEV_BATT;;;
SA-PA;PHEV_BATT;;;
SA-PA;DAM_STORAGE;;;
SA-PA;PHS;;;
SA-PA;TS_DEC_DIRECT_ELEC;;;
SA-PA;TS_DEC_HP_ELEC;;;
SA-PA;TS_DEC_THHP_GAS;;;
SA-PA;TS_DEC_COGEN_GAS;;;
SA-PA;TS_DEC_COGEN_OIL;;;
SA-PA;TS_DEC_ADVCOGEN_GAS;;;
SA-PA;TS_DEC_ADVCOGEN_H2;;;
SA-PA;TS_DEC_BOILER_GAS;;;
SA-PA;TS_DEC_BOILER_WOOD;;;
SA-PA;TS_DEC_BOILER_OIL;;;
SA-PA;TS_DHN_DAILY;;;
SA-PA;TS_DHN_SEASONAL;;;
SA-PA;TS_HIGH_TEMP;;;
SA-PA;GAS_STORAGE;;;
SA-PA;H2_STORAGE;;;
SA-PA;DIESEL_STORAGE;0.022455625702572687;0.01530564129730466;
SA-PA;JET_FUEL_STORAGE;;;
SA-PA;GASOLINE_STORAGE;0.020787021378774036;0.01416832900035683;
SA-PA;LFO_STORAGE;;;
SA-PA;AMMONIA_STORAGE;;;
SA-PA;METHANOL_STORAGE;;;
SA-PA;PT_STORAGE;;;
SA-PA;ST_STORAGE;;;
SA-PA;TS_COLD;;;
SA-PA;CO2_STORAGE;;;
