Regions;Resources;avail_local;avail_exterior;R_year_local;R_year_exterior;R_year_import;R_year_export
SIN;H2_RE;;;;;;
SIN;AMMONIA;;;;;;
SIN;METHANOL;;;;;;
SIN;AMMONIA_RE;;;;;;
SIN;METHANOL_RE;;;;;;
SIN;CO2_EMISSIONS;;1000000000000000.0;;6103.861256494916;;
SIN;RES_WIND;1000000000000000.0;;119.60197498530158;;;
SIN;RES_SOLAR;1000000000000000.0;;357.7209961156159;;;
SIN;RES_HYDRO;1000000000000000.0;;3236.7581895221692;;;
SIN;RES_GEO;1000000000000000.0;;;;;
SIN;CO2_ATM;;1000000000000000.0;;;;
SIN;CO2_INDUSTRY;;;;;;
SIN;CO2_CAPTURED;;;;;;
SIN;PT_HEAT;;;;;;
SIN;ST_HEAT;;;;;;
SIN;LPG;1000000000000000.0;;5968.154845076188;;0.012176577100246114;225.8598899776121
SIN;LNG;;;;;0.7518857553914559;0.3825152127904884
SIN;CO2_EMISSIONS_CAPTURED;;1000000000000000.0;;;;
SIN;CO2_EMISSIONS_ATM;;1000000000000000.0;;;;
