param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
C1	DIESEL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	3.912045650817679	Infinity
C1	JET_FUEL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.1437471679033178	Infinity
C1	GASOLINE_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	3.621354351614265	Infinity
C1	LFO_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	AMMONIA_STORAGE	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	METHANOL_STORAGE	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	PT_STORAGE	36.9568	0.3695	0.0	25	1.0	0.0	1.0	0.0	0.0
C1	ST_STORAGE	19.099	0.1909	0.0	25	1.0	0.0	1.0	0.0	0.0
C1	TS_COLD	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	CO2_STORAGE	49.5	0.495	0.0	30	1.0	0.0	1.0	0.0	0.0
C1	STOVE_WOOD	53.65514911	1.60965447	75.0	10	0.1875	0.0	1.0	0.0033037364992389	Infinity
C1	STOVE_LPG	52.20521443	1.33859524	75.0	10	0.1875	0.0	1.0	0.0153030325650365	Infinity
C1	STOVE_NG	70.48592219	1.80733134	75.0	10	0.1875	0.0	1.0	5.282102761992208e-05	Infinity
C1	STOVE_OIL	17.37818595	0.52134558	75.0	10	0.1875	0.0	1.0	0.0001801424845521	Infinity
C1	STOVE_ELEC	20.60357726	0.51508943	75.0	10	0.1875	0.0	1.0	0.0	Infinity
C1	PLANE	1456.05	39.82	0.0	35	0.114155251	0.0	1.0	0.0	0.0
C1	FERMENTATION_TO_BIOETHANOL	2554.01	116.0842435	0.0	25	0.92	0.0	1.0	0.0	0.0
C1	ESTERIFICATION_TO_BIODIESEL	2554.01	116.0842435	0.0	25	0.8449	0.0	1.0	0.0	0.0
C1	IND_BOILER_DIESEL	171.6964771	4.29241193	516.55	25	0.9	0.0	1.0	3.1578055165396924e-05	Infinity
C1	IND_BOILER_LPG	64.78	1.297874333	12.32	17	0.9443	0.0	1.0	0.0	0.0
C1	LPG_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0665568286472938	Infinity
C1	LNG_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	Infinity
C1	CAR_FG_PRIVATE	320.9896787	19.25938072	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	BUS_FG_PRIVATE	224.9290737	11.24645368	0.0	15	0.48372222	0.0	0.0	0.0	0.0
C1	PICKUP_TRUCK_FG_PRIVATE	553.4903109	33.20941865	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	SUV_FG_PRIVATE	487.5572958	29.25343775	0.0	10	0.1343125	0.0	1.0	0.0	0.0
