Regions;Technologies;Typical_days;Hours;F_t
C1;AGR_MACHINERY_DIESEL;8;16;0.0
C1;AGR_MACHINERY_DIESEL;8;17;0.0
C1;AGR_MACHINERY_DIESEL;8;18;0.0
C1;AGR_MACHINERY_DIESEL;8;19;0.0
C1;AGR_MACHINERY_DIESEL;8;20;0.0
C1;AGR_MACHINERY_DIESEL;8;21;0.0
C1;AGR_MACHINERY_DIESEL;8;22;0.0
C1;AGR_MACHINERY_DIESEL;8;23;0.0
C1;AGR_MACHINERY_DIESEL;8;24;0.0
C1;AGR_MACHINERY_DIESEL;9;1;0.0
C1;AGR_MACHINERY_DIESEL;9;2;0.0
C1;AGR_MACHINERY_DIESEL;9;3;0.0
C1;AGR_MACHINERY_DIESEL;9;4;0.0
C1;AGR_MACHINERY_DIESEL;9;5;0.0
C1;AGR_MACHINERY_DIESEL;9;6;0.0
C1;AGR_MACHINERY_DIESEL;9;7;0.0
C1;AGR_MACHINERY_DIESEL;9;8;0.0
C1;AGR_MACHINERY_DIESEL;9;9;0.0
C1;AGR_MACHINERY_DIESEL;9;10;0.0
C1;AGR_MACHINERY_DIESEL;9;11;0.0
C1;AGR_MACHINERY_DIESEL;9;12;0.0
C1;AGR_MACHINERY_DIESEL;9;13;0.0
C1;AGR_MACHINERY_DIESEL;9;14;0.0
C1;AGR_MACHINERY_DIESEL;9;15;0.0
C1;AGR_MACHINERY_DIESEL;9;16;0.0
C1;AGR_MACHINERY_DIESEL;9;17;0.0
C1;AGR_MACHINERY_DIESEL;9;18;0.0
C1;AGR_MACHINERY_DIESEL;9;19;0.0
C1;AGR_MACHINERY_DIESEL;9;20;0.0
C1;AGR_MACHINERY_DIESEL;9;21;0.0
C1;AGR_MACHINERY_DIESEL;9;22;0.0
C1;AGR_MACHINERY_DIESEL;9;23;0.0
C1;AGR_MACHINERY_DIESEL;9;24;0.0
C1;AGR_MACHINERY_DIESEL;10;1;0.0
C1;AGR_MACHINERY_DIESEL;10;2;0.0
C1;AGR_MACHINERY_DIESEL;10;3;0.0
C1;AGR_MACHINERY_DIESEL;10;4;0.0
C1;AGR_MACHINERY_DIESEL;10;5;0.0
C1;AGR_MACHINERY_DIESEL;10;6;0.0
C1;AGR_MACHINERY_DIESEL;10;7;0.0
C1;AGR_MACHINERY_DIESEL;10;8;0.0
C1;AGR_MACHINERY_DIESEL;10;9;0.0
C1;AGR_MACHINERY_DIESEL;10;10;0.0
C1;AGR_MACHINERY_DIESEL;10;11;0.0
C1;AGR_MACHINERY_DIESEL;10;12;0.0
C1;AGR_MACHINERY_DIESEL;10;13;0.0
C1;AGR_MACHINERY_DIESEL;10;14;0.0
C1;AGR_MACHINERY_DIESEL;10;15;0.0
C1;AGR_MACHINERY_DIESEL;10;16;0.0
C1;AGR_MACHINERY_DIESEL;10;17;0.0
C1;AGR_MACHINERY_DIESEL;10;18;0.0
C1;AGR_MACHINERY_DIESEL;10;19;0.0
C1;AGR_MACHINERY_DIESEL;10;20;0.0
C1;AGR_MACHINERY_DIESEL;10;21;0.0
C1;AGR_MACHINERY_DIESEL;10;22;0.0
C1;AGR_MACHINERY_DIESEL;10;23;0.0
C1;AGR_MACHINERY_DIESEL;10;24;0.0
C1;AGR_MACHINERY_DIESEL;11;1;0.0
C1;AGR_MACHINERY_DIESEL;11;2;0.0
C1;AGR_MACHINERY_DIESEL;11;3;0.0
C1;AGR_MACHINERY_DIESEL;11;4;0.0
C1;AGR_MACHINERY_DIESEL;11;5;0.0
C1;AGR_MACHINERY_DIESEL;11;6;0.0
C1;AGR_MACHINERY_DIESEL;11;7;0.0
C1;AGR_MACHINERY_DIESEL;11;8;0.0
C1;AGR_MACHINERY_DIESEL;11;9;0.0
C1;AGR_MACHINERY_DIESEL;11;10;0.0
C1;AGR_MACHINERY_DIESEL;11;11;0.0
C1;AGR_MACHINERY_DIESEL;11;12;0.0
C1;AGR_MACHINERY_DIESEL;11;13;0.0
C1;AGR_MACHINERY_DIESEL;11;14;0.0
C1;AGR_MACHINERY_DIESEL;11;15;0.0
C1;AGR_MACHINERY_DIESEL;11;16;0.0
C1;AGR_MACHINERY_DIESEL;11;17;0.0
C1;AGR_MACHINERY_DIESEL;11;18;0.0
C1;AGR_MACHINERY_DIESEL;11;19;0.0
C1;AGR_MACHINERY_DIESEL;11;20;0.0
C1;AGR_MACHINERY_DIESEL;11;21;0.0
C1;AGR_MACHINERY_DIESEL;11;22;0.0
C1;AGR_MACHINERY_DIESEL;11;23;0.0
C1;AGR_MACHINERY_DIESEL;11;24;0.0
C1;AGR_MACHINERY_DIESEL;12;1;0.0
C1;AGR_MACHINERY_DIESEL;12;2;0.0
C1;AGR_MACHINERY_DIESEL;12;3;0.0
C1;AGR_MACHINERY_DIESEL;12;4;0.0
C1;AGR_MACHINERY_DIESEL;12;5;0.0
C1;AGR_MACHINERY_DIESEL;12;6;0.0
C1;AGR_MACHINERY_DIESEL;12;7;0.0
C1;AGR_MACHINERY_DIESEL;12;8;0.0
C1;AGR_MACHINERY_DIESEL;12;9;0.0
C1;AGR_MACHINERY_DIESEL;12;10;0.0
C1;AGR_MACHINERY_DIESEL;12;11;0.0
C1;AGR_MACHINERY_DIESEL;12;12;0.0
C1;AGR_MACHINERY_DIESEL;12;13;0.0
C1;AGR_MACHINERY_DIESEL;12;14;0.0
C1;AGR_MACHINERY_DIESEL;12;15;0.0
C1;AGR_MACHINERY_DIESEL;12;16;0.0
C1;AGR_MACHINERY_DIESEL;12;17;0.0
C1;AGR_MACHINERY_DIESEL;12;18;0.0
C1;AGR_MACHINERY_DIESEL;12;19;0.0
C1;AGR_MACHINERY_DIESEL;12;20;0.0
C1;AGR_MACHINERY_DIESEL;12;21;0.0
C1;AGR_MACHINERY_DIESEL;12;22;0.0
C1;AGR_MACHINERY_DIESEL;12;23;0.0
C1;AGR_MACHINERY_DIESEL;12;24;0.0
C1;AGR_MACHINERY_DIESEL;13;1;0.0
C1;AGR_MACHINERY_DIESEL;13;2;0.0
C1;AGR_MACHINERY_DIESEL;13;3;0.0
C1;AGR_MACHINERY_DIESEL;13;4;0.0
C1;AGR_MACHINERY_DIESEL;13;5;0.0
C1;AGR_MACHINERY_DIESEL;13;6;0.0
C1;AGR_MACHINERY_DIESEL;13;7;0.0
C1;AGR_MACHINERY_DIESEL;13;8;0.0
C1;AGR_MACHINERY_DIESEL;13;9;0.0
C1;AGR_MACHINERY_DIESEL;13;10;0.0
C1;AGR_MACHINERY_DIESEL;13;11;0.0
C1;AGR_MACHINERY_DIESEL;13;12;0.0
C1;AGR_MACHINERY_DIESEL;13;13;0.0
C1;AGR_MACHINERY_DIESEL;13;14;0.0
C1;AGR_MACHINERY_DIESEL;13;15;0.0
C1;AGR_MACHINERY_DIESEL;13;16;0.0
C1;AGR_MACHINERY_DIESEL;13;17;0.0
C1;AGR_MACHINERY_DIESEL;13;18;0.0
C1;AGR_MACHINERY_DIESEL;13;19;0.0
C1;AGR_MACHINERY_DIESEL;13;20;0.0
C1;AGR_MACHINERY_DIESEL;13;21;0.0
C1;AGR_MACHINERY_DIESEL;13;22;0.0
C1;AGR_MACHINERY_DIESEL;13;23;0.0
C1;AGR_MACHINERY_DIESEL;13;24;0.0
C1;AGR_MACHINERY_DIESEL;14;1;0.0
C1;AGR_MACHINERY_DIESEL;14;2;0.0
C1;AGR_MACHINERY_DIESEL;14;3;0.0
C1;AGR_MACHINERY_DIESEL;14;4;0.0
C1;AGR_MACHINERY_DIESEL;14;5;0.0
C1;AGR_MACHINERY_DIESEL;14;6;0.0
C1;AGR_MACHINERY_DIESEL;14;7;0.0
C1;AGR_MACHINERY_DIESEL;14;8;0.0
C1;AGR_MACHINERY_DIESEL;14;9;0.0
C1;AGR_MACHINERY_DIESEL;14;10;0.0
C1;AGR_MACHINERY_DIESEL;14;11;0.0
C1;AGR_MACHINERY_DIESEL;14;12;0.0
C1;AGR_MACHINERY_DIESEL;14;13;0.0
C1;AGR_MACHINERY_DIESEL;14;14;0.0
C1;AGR_MACHINERY_DIESEL;14;15;0.0
C1;AGR_MACHINERY_DIESEL;14;16;0.0
C1;AGR_MACHINERY_DIESEL;14;17;0.0
C1;AGR_MACHINERY_DIESEL;14;18;0.0
C1;AGR_MACHINERY_DIESEL;14;19;0.0
C1;AGR_MACHINERY_DIESEL;14;20;0.0
C1;AGR_MACHINERY_DIESEL;14;21;0.0
C1;AGR_MACHINERY_DIESEL;14;22;0.0
C1;AGR_MACHINERY_DIESEL;14;23;0.0
C1;AGR_MACHINERY_DIESEL;14;24;0.0
C1;AGR_MACHINERY_DIESEL;15;1;0.0
