Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
CAR_DIESEL_PRIVATE;0.1343125;0.000676551;0.002416255;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0;0;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.1343125;0.002288584;0.008173514;0;1.00E+15
SUV_DIESEL_PRIVATE;0.1343125;0.000455469;0.001626677;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0;0;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0;0;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.034322706;0.122581094;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.1343125;0;0;0;0
SUV_DIESEL_PUBLIC;0.1343125;0;0;0;0
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0;0;0;0
TRUCK_FG;0.01805556;0;0;0;0
VAN_FG;0.0203125;0;0;0;0
CARGO_MOTORCYCLE_FG;0.01075;0;0;0;0
TRUCK_GASOLINE;0.01805556;0.105175217;0.375625776;0;1.00E+15
VAN_GASOLINE;0.0203125;0.205038685;0.732281017;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0;0;0;0
TRUCK_DIESEL_P;0.01805556;0.174824783;0.624374224;0;1.00E+15
VAN_DIESEL;0.0203125;0.074961315;0.267718983;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0;0;0;0
CONVENTIONAL_BULB;1;0.220602273;0.787865261;0;1.00E+15
LED_BULB;1;0.059397727;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
LED_LIGHT;1;0;1;0;0
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0;1.00E+15
COMM_MACHINERY_EL;1;0;1;0;0
IND_MACHINERY_EL;1;0;1;0;0
TRACTOR_DIESEL;1;0;1;0;1.00E+15
AGR_MACHINERY_DIESEL;1;0;1;0;1.00E+15
AGR_MACHINERY_EL;1;0;1;0;0
MIN_MACHINERY_DIESEL;1;0;1;0;1.00E+15
MIN_MACHINERY_EL;1;0;1;0;0
FISH_MACHINERY_DIESEL;1;0.268996528;0.960701884;0;1.00E+15
FISH_MACHINERY_EL;1;0.011003472;0.039298116;0;1.00E+15
TRACTOR_EL;1;0;1;0;0
BUS_ELEC_PUBLIC;0.48372222;0;1;0;0
BUS_ELEC_PRIVATE;0.48372222;0;1;0;0
PICKUP_TRUCK_ELEC_PUBLIC;0;0;1;0;0
PICKUP_TRUCK_ELEC_PRIVATE;0;0;1;0;0
SUV_ELEC_PUBLIC;0.1343125;0;1;0;0
SUV_ELEC_PRIVATE;0.1343125;0;1;0;0
MOTORCYCLE_ELEC_PUBLIC;0.01989583;0;1;0;0
MOTORCYCLE_ELEC_PRIVATE;0.01989583;0;1;0;0
VAN_ELEC;0;0;1;0;0
CARGO_MOTORCYCLE_ELEC;0.0203125;0;1;0;0
TRAIN_FREIGHT_ELEC;0.342465753;0;1;0;0
BOAT_FREIGHT_ELEC;0.114155251;0;1;0;0
FUEL_CELL;1;0;1;0;0
ETHANOL_TO_FUELS;0.95;0;1;0;0
BIO_HYDROLYSIS;0.8449;0;1;0;0
PYROLYSIS_TO_FUELS;0.8449;0;1;0;0
PYROLYSIS_TO_LFO;0.8449;0;1;0;0
FB_ST_BIOMASS;0.409994599;0;1;0;0
CFB_ST_BIOMASS;0.409994599;0;1;0;0
BFB_ST_BIOMASS;0.409994599;0;1;0;0
REGASIFICATION;1;0;1;0.0008114;0.0008115
LIQUEFACTION;1;0;1;0;0
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
SUV_ELEC_PRIVATE_BATT;1;0;1;0;0
MOTORCYCLE_ELEC_PRIVATE_BATT;1;0;1;0;0
BUS_ELEC_PUBLIC_BATT;1;0;1;0;0
