param : 	storage_charge_time	storage_discharge_time := 
SA-PA	LPG_STORAGE	168.0	168.0
SA-PA	LNG_STORAGE	15.0	15.0
SA-PA	SUV_ELEC_PRIVATE_BATT	8.33	8.33
SA-PA	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
SA-PA	BUS_ELEC_PUBLIC_BATT	8.33	8.33
SA-SC	DAM_STORAGE	1526.0	1526.0
SA-SC	PHS	10.0	10.0
SA-SC	BATT_LI	6.0	6.0
SA-SC	CAES	6.84	4.1
SA-SC	BEV_BATT	8.33	8.33
SA-SC	PHEV_BATT	8.33	8.33
SA-SC	TS_DEC_DIRECT_ELEC	4.0	4.0
SA-SC	TS_DEC_HP_ELEC	4.0	4.0
SA-SC	TS_DEC_THHP_GAS	4.0	4.0
SA-SC	TS_DEC_COGEN_GAS	4.0	4.0
SA-SC	TS_DEC_COGEN_OIL	4.0	4.0
SA-SC	TS_DEC_ADVCOGEN_GAS	4.0	4.0
SA-SC	TS_DEC_ADVCOGEN_H2	4.0	4.0
SA-SC	TS_DEC_BOILER_GAS	4.0	4.0
SA-SC	TS_DEC_BOILER_WOOD	4.0	4.0
SA-SC	TS_DEC_BOILER_OIL	4.0	4.0
SA-SC	TS_DHN_DAILY	60.3	60.3
SA-SC	TS_DHN_SEASONAL	150.0	150.0
SA-SC	TS_HIGH_TEMP	2.0	2.0
SA-SC	GAS_STORAGE	2256.0	752.0
SA-SC	H2_STORAGE	168.0	168.0
SA-SC	CO2_STORAGE	1.0	1.0
SA-SC	DIESEL_STORAGE	168.0	168.0
SA-SC	JET_FUEL_STORAGE	168.0	168.0
SA-SC	GASOLINE_STORAGE	168.0	168.0
SA-SC	LFO_STORAGE	168.0	168.0
SA-SC	AMMONIA_STORAGE	168.0	168.0
SA-SC	METHANOL_STORAGE	168.0	168.0
SA-SC	PT_STORAGE	1.33	1.33
SA-SC	ST_STORAGE	1.33	1.33
SA-SC	TS_COLD	4.0	4.0
SA-SC	LPG_STORAGE	168.0	168.0
SA-SC	LNG_STORAGE	15.0	15.0
SA-SC	SUV_ELEC_PRIVATE_BATT	8.33	8.33
SA-SC	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
SA-SC	BUS_ELEC_PUBLIC_BATT	8.33	8.33
SA-TJ	DAM_STORAGE	1526.0	1526.0
SA-TJ	PHS	10.0	10.0
SA-TJ	BATT_LI	6.0	6.0
SA-TJ	CAES	6.84	4.1
SA-TJ	BEV_BATT	8.33	8.33
SA-TJ	PHEV_BATT	8.33	8.33
SA-TJ	TS_DEC_DIRECT_ELEC	4.0	4.0
SA-TJ	TS_DEC_HP_ELEC	4.0	4.0
SA-TJ	TS_DEC_THHP_GAS	4.0	4.0
SA-TJ	TS_DEC_COGEN_GAS	4.0	4.0
SA-TJ	TS_DEC_COGEN_OIL	4.0	4.0
SA-TJ	TS_DEC_ADVCOGEN_GAS	4.0	4.0
SA-TJ	TS_DEC_ADVCOGEN_H2	4.0	4.0
SA-TJ	TS_DEC_BOILER_GAS	4.0	4.0
SA-TJ	TS_DEC_BOILER_WOOD	4.0	4.0
SA-TJ	TS_DEC_BOILER_OIL	4.0	4.0
SA-TJ	TS_DHN_DAILY	60.3	60.3
SA-TJ	TS_DHN_SEASONAL	150.0	150.0
SA-TJ	TS_HIGH_TEMP	2.0	2.0
SA-TJ	GAS_STORAGE	2256.0	752.0
SA-TJ	H2_STORAGE	168.0	168.0
SA-TJ	CO2_STORAGE	1.0	1.0
SA-TJ	DIESEL_STORAGE	168.0	168.0
SA-TJ	JET_FUEL_STORAGE	168.0	168.0
SA-TJ	GASOLINE_STORAGE	168.0	168.0
SA-TJ	LFO_STORAGE	168.0	168.0
SA-TJ	AMMONIA_STORAGE	168.0	168.0
SA-TJ	METHANOL_STORAGE	168.0	168.0
SA-TJ	PT_STORAGE	1.33	1.33
SA-TJ	ST_STORAGE	1.33	1.33
SA-TJ	TS_COLD	4.0	4.0
SA-TJ	LPG_STORAGE	168.0	168.0
SA-TJ	LNG_STORAGE	15.0	15.0
SA-TJ	SUV_ELEC_PRIVATE_BATT	8.33	8.33
SA-TJ	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
SA-TJ	BUS_ELEC_PUBLIC_BATT	8.33	8.33
SIN	DAM_STORAGE	1526.0	1526.0
SIN	PHS	10.0	10.0
SIN	BATT_LI	6.0	6.0
SIN	CAES	6.84	4.1
SIN	BEV_BATT	8.33	8.33
SIN	PHEV_BATT	8.33	8.33
SIN	TS_DEC_DIRECT_ELEC	4.0	4.0
SIN	TS_DEC_HP_ELEC	4.0	4.0
SIN	TS_DEC_THHP_GAS	4.0	4.0
SIN	TS_DEC_COGEN_GAS	4.0	4.0
SIN	TS_DEC_COGEN_OIL	4.0	4.0
SIN	TS_DEC_ADVCOGEN_GAS	4.0	4.0
SIN	TS_DEC_ADVCOGEN_H2	4.0	4.0
SIN	TS_DEC_BOILER_GAS	4.0	4.0
SIN	TS_DEC_BOILER_WOOD	4.0	4.0
SIN	TS_DEC_BOILER_OIL	4.0	4.0
SIN	TS_DHN_DAILY	60.3	60.3
SIN	TS_DHN_SEASONAL	150.0	150.0
SIN	TS_HIGH_TEMP	2.0	2.0
SIN	GAS_STORAGE	2256.0	752.0
SIN	H2_STORAGE	168.0	168.0
SIN	CO2_STORAGE	1.0	1.0
SIN	DIESEL_STORAGE	168.0	168.0
SIN	JET_FUEL_STORAGE	168.0	168.0
SIN	GASOLINE_STORAGE	168.0	168.0
SIN	LFO_STORAGE	168.0	168.0
SIN	AMMONIA_STORAGE	168.0	168.0
SIN	METHANOL_STORAGE	168.0	168.0
SIN	PT_STORAGE	1.33	1.33
SIN	ST_STORAGE	1.33	1.33
SIN	TS_COLD	4.0	4.0
SIN	LPG_STORAGE	168.0	168.0
SIN	LNG_STORAGE	15.0	15.0
SIN	SUV_ELEC_PRIVATE_BATT	8.33	8.33
SIN	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
SIN	BUS_ELEC_PUBLIC_BATT	8.33	8.33
;
