param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
SA-BN	CARGO_FUELCELL_LH2	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
SA-BN	CARGO_FUELCELL_AMMONIA	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
SA-BN	CARGO_RETRO_METHANOL	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
SA-BN	CARGO_RETRO_AMMONIA	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
SA-BN	TRUCK_DIESEL	0.0	0.0	0.0	15	0.01805556	0.0	1.0	0.0	0.0
SA-BN	TRUCK_METHANOL	0.0	0.0	0.0	15	0.01805556	0.0	1.0	0.0	0.0
SA-BN	TRUCK_FUEL_CELL	430.17	12.06666667	0.0	15	0.01805556	0.0	1.0	0.0	0.0
SA-BN	TRUCK_ELEC	878.38	23.13333333	0.0	15	0.01805556	0.0	1.0	0.0	0.0
SA-BN	TRUCK_NG	355.28	18.55555556	0.0	15	0.01805556	0.0	1.0	0.0	0.0
SA-BN	EFFICIENCY	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	Infinity
SA-BN	DHN	825.88	0.0	0.0	60	1.0	0.0	1.0	0.0	0.0
SA-BN	GRID	810.19	0.0	0.0	80	1.0	0.0	1.0	0.0	Infinity
SA-BN	HVAC_LINE	2.0	0.04	0.0	40	1.0	0.0	1.0	0.0	Infinity
SA-BN	HVDC_SUBSEA	3.24	0.06	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	GAS_PIPELINE	0.134	0.001	0.0	55	1.0	0.0	1.0	0.0	Infinity
SA-BN	GAS_SUBSEA	0.208	0.002	0.0	55	1.0	0.0	1.0	0.0	0.0
SA-BN	H2_RETROFITTED	0.355973417	0.005	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	H2_NEW	0.452	0.005	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	H2_SUBSEA_RETRO	0.533066683	0.007	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	H2_SUBSEA_NEW	0.726	0.007	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	H2_ELECTROLYSIS	2784.81	76.58227848	0.0	15	0.8946	0.0	1.0	0.0	0.0
SA-BN	H2_NG	775.33	71.54781261	0.0	25	0.85484	0.0	1.0	0.0	0.0
SA-BN	H2_BIOMASS	4798.23	338.0304591	0.0	25	0.85484	0.0	1.0	0.0	0.0
SA-BN	BIOMASS_TO_METHANE	3082.8512	173.8128468	0.0	25	0.85	0.0	1.0	0.0	0.0
SA-BN	BIOWASTE_TO_METHANE	3082.8512	173.8128468	0.0	25	0.85	0.0	1.0	0.0	0.0
SA-BN	SYN_METHANATION	349.6	89.32368421	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	BIOMETHANATION_WET_BIOMASS	1122.22	15.54545455	0.0	20	0.8449	0.0	1.0	0.0	0.0
SA-BN	BIOMETHANATION_BIOWASTE	1122.22	15.54545455	0.0	20	0.8449	0.0	1.0	0.0	0.0
SA-BN	BIOMASS_TO_JET_FUEL	6046.9153	166.9735	0.0	25	0.91	0.0	1.0	0.0	0.0
SA-BN	BIOMASS_TO_LFO	6046.9153	166.9735	0.0	25	0.91	0.0	1.0	0.0	0.0
SA-BN	BIOWASTE_TO_JET_FUEL	6046.9153	250.46025	0.0	25	0.91	0.0	1.0	0.0	0.0
SA-BN	BIOWASTE_TO_LFO	6046.9153	250.46025	0.0	25	0.91	0.0	1.0	0.0	0.0
SA-BN	DIESEL_TO_JET_FUEL	0.0	0.0	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	ATM_CCS	5342.73	132.624	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	INDUSTRY_CCS	2671.37	66.312	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	SYN_METHANOLATION	0.0	0.0	0.0	20	0.9443	0.0	1.0	0.0	0.0
SA-BN	METHANE_TO_METHANOL	0.0	0.0	0.0	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	BIOMASS_TO_METHANOL	0.0	0.0	0.0	20	0.994	0.0	1.0	0.0	0.0
SA-BN	BIOWASTE_TO_METHANOL	0.0	94.248	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	HABER_BOSCH	0.0	0.0	0.0	20	0.994	0.0	1.0	0.0	0.0
SA-BN	POWER_TO_JET_FUEL	3804.508764	288.1851693	0.0	25	0.91	0.0	1.0	0.0	0.0
SA-BN	POWER_TO_LFO	3804.508764	288.1851693	0.0	25	0.91	0.0	1.0	0.0	0.0
SA-BN	H2_TO_JET_FUEL	2445.720694	149.5353034	0.0	25	0.91	0.0	1.0	0.0	0.0
SA-BN	H2_TO_LFO	2445.720694	149.5353034	0.0	25	0.91	0.0	1.0	0.0	0.0
SA-BN	AMMONIA_TO_H2	0.0	0.0	0.0	25	0.994	0.0	1.0	0.0	0.0
SA-BN	OIL_TO_HVC	449.55	2.390016639	0.0	15	0.994	0.0	1.0	0.0	Infinity
SA-BN	GAS_TO_HVC	907.75	22.69375242	0.0	25	0.994	0.0	1.0	0.0	0.0
SA-BN	BIOMASS_TO_HVC	3311.7	98.8	0.0	20	0.994	0.0	1.0	0.0	0.0
SA-BN	METHANOL_TO_HVC	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	BATT_LI	501.3	0.775025166	61.3	15	1.0	0.0	1.0	0.0	0.0
SA-BN	CAES	38.938	3.1799	0.0	50	1.0	0.0	1.0	0.0	0.0
SA-BN	BEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
SA-BN	PHEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
SA-BN	DAM_STORAGE	0.0	0.0	0.0	100	1.0	0.0	1.0	0.0	0.0
SA-BN	PHS	58.8	0.0	8.33	50	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_DIRECT_ELEC	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_HP_ELEC	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_THHP_GAS	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_COGEN_GAS	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_COGEN_OIL	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_ADVCOGEN_GAS	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_ADVCOGEN_H2	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_BOILER_GAS	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_BOILER_WOOD	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DEC_BOILER_OIL	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DHN_DAILY	0.0	0.0	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_DHN_SEASONAL	0.0	0.0	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_HIGH_TEMP	0.0	0.0	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	GAS_STORAGE	0.0	0.0	0.0	50	1.0	0.0	1.0	0.0	0.0
SA-BN	H2_STORAGE	6.19	0.39	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	DIESEL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	JET_FUEL_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	GASOLINE_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	LFO_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	AMMONIA_STORAGE	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	METHANOL_STORAGE	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	PT_STORAGE	36.9568	0.3695	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	ST_STORAGE	19.099	0.1909	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	TS_COLD	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	CO2_STORAGE	49.5	0.495	0.0	30	1.0	0.0	1.0	0.0	0.0
SA-BN	STOVE_WOOD	53.65514911	1.60965447	75.0	10	0.1875	0.0	1.0	0.00160558	Infinity
SA-BN	STOVE_LPG	52.20521443	1.33859524	75.0	10	0.1875	0.0	1.0	6.69e-05	6.7e-05
SA-BN	STOVE_NG	70.48592219	1.80733134	75.0	10	0.1875	0.0	1.0	1.94e-06	2.04e-06
SA-BN	STOVE_OIL	17.37818595	0.52134558	75.0	10	0.1875	0.0	1.0	0.0	0.0
SA-BN	STOVE_ELEC	20.60357726	0.51508943	75.0	10	0.1875	0.0	1.0	0.0	0.0
SA-BN	PLANE	1456.05	39.82	0.0	35	0.114155251	0.0	1.0	0.0	0.0
SA-BN	FERMENTATION_TO_BIOETHANOL	2554.01	116.0842435	0.0	25	0.92	0.0	1.0	0.0	0.0
SA-BN	ESTERIFICATION_TO_BIODIESEL	2554.01	116.0842435	0.0	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_DIESEL	171.6964771	4.29241193	516.55	25	0.9	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_LPG	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	0.0
SA-BN	LPG_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	LNG_STORAGE	0.01	0.000397	0.0	20	1.0	0.0	1.0	0.4279	0.428
SA-BN	CAR_FG_PRIVATE	315.1175424	18.90705254	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	BUS_FG_PRIVATE	220.8150238	11.04075119	0.0	15	0.48372222	0.0	1.0	0.0	0.0
SA-BN	PICKUP_TRUCK_FG_PRIVATE	543.3648433	32.6018906	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	SUV_FG_PRIVATE	478.6379968	28.71827981	0.0	10	0.1343125	0.0	1.0	0.0	0.0
